1.393193914540871020e-03,9.529034861883708745e-04,-3.523457171784341141e-05,5.467847415041595660e+00
1.371900292069223957e-03,9.609884554480726702e-04,-3.523454878627303862e-05,5.567447822454818507e+00
2.400472552776466376e-03,6.517888988102534800e-04,-3.504031065623023841e-04,5.753739685756820599e+00
2.755511591691510226e-04,1.857339978390505554e-04,-9.497246807315770536e-05,5.769527714770769755e+00
-8.682250925941385495e-04,-3.699130266376932249e-04,-7.206583154047682455e-05,5.777218815882250169e+00
-2.364034728554011491e-03,-8.978299327583182284e-04,-6.852180372317940346e-05,5.768042273463818148e+00
-3.559634848885455741e-03,-1.254419552839822205e-03,-5.202788182709636503e-05,5.749151077918647879e+00
-3.733354513541775003e-03,-1.350080544886978449e-03,-4.728759651631395431e-05,5.729712722559699323e+00
-2.982074293290089620e-03,-1.143744541587515210e-03,-4.340165940163710035e-05,5.711155293630562291e+00
-1.237766436523680437e-03,-6.689773534905974319e-04,-3.989917112686331590e-05,5.694540285269569679e+00
1.106859652205142508e-03,-2.679409669512370431e-05,-3.632402726305685641e-05,5.680021048766326075e+00
3.446138530921019454e-03,6.385905665650976493e-04,-3.214172023420595057e-05,5.667336768978779027e+00
5.122145039205639426e-03,1.170325482025888009e-03,-2.806525753515792617e-05,5.656178437758973665e+00
5.535837364993996014e-03,1.436467055548730845e-03,-2.490523679848502872e-05,5.646250055280849445e+00
4.390027288692902388e-03,1.362743927282607280e-03,-2.271542529013269223e-05,5.637307288764913160e+00
1.805907832213206159e-03,9.530719728327256141e-04,-2.056572311129969377e-05,5.629158575323336855e+00
-1.675589502447003172e-03,2.911700127035261572e-04,-1.729482584494834247e-05,5.621654475444915811e+00
-5.194609044089210786e-03,-4.771525746630703863e-04,-1.267703367648742310e-05,5.614678782032474835e+00
-7.745046693659100000e-03,-1.175277801066635080e-03,-7.842668043638972549e-06,5.608142813277269489e+00
-8.429968423872441843e-03,-1.634912225419888135e-03,-4.379933737997377983e-06,5.601981110233576366e+00
-6.784057566474399961e-03,-1.736859661872911832e-03,-2.782961754982356033e-06,5.596145699722947064e+00
-2.987279176783561550e-03,-1.442854700690384111e-03,-1.709671725333847388e-06,5.590598720218008744e+00
